breed,breedType,origin,popularity,temperament,hypoallergenic,intelligence,photo
Labrador Retriever,Purebred,"Canada,USA",1,"Cheerful, Gentle, Friendly, Intelligent",No,7,https://learnwebcode.github.io/json-example/images/cat-2.jpg
German Shepard,Purebred,Germany,2,"Corageous, Intelligent, Loyal, Watchful",No,3,https://learnwebcode.github.io/json-example/images/cat-2.jpg
Golden Retriever,Purebred,United Kingdom,3,"Intelligent, Kind, Friendly, Confident",No,4,https://learnwebcode.github.io/json-example/images/cat-2.jpg
French Bulldog,Purebred,"France, UK",4,"Playful, Sociable, Friendly, Lively, Patient",No,58,https://learnwebcode.github.io/json-example/images/cat-2.jpg
Bulldog,Purebred,United Kingdom,5,"Friendly, Docile, Willful, Gregarious",No,77,https://learnwebcode.github.io/json-example/images/cat-2.jpg
Beagle,Purebred,United Kingdom,6,"Gentle, Intelligent, Even Tempered, Determined",No,72,https://learnwebcode.github.io/json-example/images/cat-2.jpg
Poodle,Purebred,"Germany, France",7,"Intelligent, Faithful, Trainable, Instinctual",Yes,2,https://learnwebcode.github.io/json-example/images/cat-2.jpg
Rottweiler,Purebred,Germany,8,"Intelligent, Corageous, Fearless, Confident",No,9,https://learnwebcode.github.io/json-example/images/cat-2.jpg
German Shorthaired Pointer,Purebred,Germany,9,"Intelligent, Trainable, Boisterous, Cooperative",No,9,https://learnwebcode.github.io/json-example/images/cat-2.jpg
Yorkshire Terrier,Purebred,United Kingdom,10,"Independent, Intelligent, Corageous, Confident",Yes,27,https://learnwebcode.github.io/json-example/images/cat-2.jpg
Boxer,Purebred,Germany,11,"Playful, Friendly, Devoted, Loyal",No,48,https://learnwebcode.github.io/json-example/images/cat-2.jpg
